period_window,day,co_max8h
baseline_MarJun2024,2024-03-01,2.646875
baseline_MarJun2024,2024-03-02,2.603125
baseline_MarJun2024,2024-03-03,2.440625
baseline_MarJun2024,2024-03-04,2.6100000000000003
baseline_MarJun2024,2024-03-05,2.520625
baseline_MarJun2024,2024-03-06,2.2934375
baseline_MarJun2024,2024-03-07,2.440625
baseline_MarJun2024,2024-03-08,2.7506250000000003
baseline_MarJun2024,2024-03-09,2.2649999999999997
baseline_MarJun2024,2024-03-10,2.11875
baseline_MarJun2024,2024-03-11,2.3656249999999996
baseline_MarJun2024,2024-03-12,2.6
baseline_MarJun2024,2024-03-13,2.919375
baseline_MarJun2024,2024-03-14,2.89125
baseline_MarJun2024,2024-03-15,2.648125
baseline_MarJun2024,2024-03-16,2.434375
baseline_MarJun2024,2024-03-17,2.4325
baseline_MarJun2024,2024-03-18,2.230625
baseline_MarJun2024,2024-03-19,2.28125
baseline_MarJun2024,2024-03-20,2.559375
baseline_MarJun2024,2024-03-21,2.7300000000000004
baseline_MarJun2024,2024-03-22,2.57375
baseline_MarJun2024,2024-03-23,2.644375
baseline_MarJun2024,2024-03-24,2.55875
baseline_MarJun2024,2024-03-25,2.785
baseline_MarJun2024,2024-03-26,2.211875
baseline_MarJun2024,2024-03-27,2.261875
baseline_MarJun2024,2024-03-28,2.23625
baseline_MarJun2024,2024-03-29,2.35625
baseline_MarJun2024,2024-03-30,2.421875
baseline_MarJun2024,2024-03-31,2.435625
baseline_MarJun2024,2024-04-01,3.038125
baseline_MarJun2024,2024-04-02,2.8812499999999996
baseline_MarJun2024,2024-04-03,2.2112499999999997
baseline_MarJun2024,2024-04-04,2.505625
baseline_MarJun2024,2024-04-05,2.4518750000000002
baseline_MarJun2024,2024-04-06,2.503125
baseline_MarJun2024,2024-04-07,2.5456250000000002
baseline_MarJun2024,2024-04-08,2.614375
baseline_MarJun2024,2024-04-09,2.6881250000000003
baseline_MarJun2024,2024-04-10,2.374375
baseline_MarJun2024,2024-04-11,2.2037500000000003
baseline_MarJun2024,2024-04-12,2.2675
baseline_MarJun2024,2024-04-13,2.44625
baseline_MarJun2024,2024-04-14,2.49125
baseline_MarJun2024,2024-04-15,2.706875
baseline_MarJun2024,2024-04-16,2.571875
baseline_MarJun2024,2024-04-17,2.6937499999999996
baseline_MarJun2024,2024-04-18,2.83875
baseline_MarJun2024,2024-04-19,2.7268749999999997
baseline_MarJun2024,2024-04-20,2.478125
baseline_MarJun2024,2024-04-21,2.2125000000000004
baseline_MarJun2024,2024-04-22,2.26375
baseline_MarJun2024,2024-04-23,2.574375
baseline_MarJun2024,2024-04-24,2.44625
baseline_MarJun2024,2024-04-25,2.45125
baseline_MarJun2024,2024-04-26,2.616875
baseline_MarJun2024,2024-04-27,2.65125
baseline_MarJun2024,2024-04-28,2.569375
baseline_MarJun2024,2024-04-29,2.505625
baseline_MarJun2024,2024-04-30,2.445
baseline_MarJun2024,2024-05-01,2.484375
baseline_MarJun2024,2024-05-02,2.64125
baseline_MarJun2024,2024-05-03,2.566875
baseline_MarJun2024,2024-05-04,2.5718750000000004
baseline_MarJun2024,2024-05-05,2.538125
baseline_MarJun2024,2024-05-06,2.72375
baseline_MarJun2024,2024-05-07,2.7687500000000003
baseline_MarJun2024,2024-05-08,2.823125
baseline_MarJun2024,2024-05-09,2.83625
baseline_MarJun2024,2024-05-10,2.839375
baseline_MarJun2024,2024-05-11,2.896875
baseline_MarJun2024,2024-05-12,2.9290624999999997
baseline_MarJun2024,2024-05-13,3.2459375
baseline_MarJun2024,2024-05-14,2.863125
baseline_MarJun2024,2024-05-15,2.8431249999999997
baseline_MarJun2024,2024-05-16,2.9418750000000005
baseline_MarJun2024,2024-05-17,2.921875
baseline_MarJun2024,2024-05-18,2.9000000000000004
baseline_MarJun2024,2024-05-19,2.795
baseline_MarJun2024,2024-05-20,3.011875
baseline_MarJun2024,2024-05-21,2.0212499999999998
baseline_MarJun2024,2024-05-22,1.9981250000000002
baseline_MarJun2024,2024-05-23,2.53625
baseline_MarJun2024,2024-05-24,2.80875
baseline_MarJun2024,2024-05-25,2.034375
baseline_MarJun2024,2024-05-26,2.065
baseline_MarJun2024,2024-05-27,2.289375
baseline_MarJun2024,2024-05-28,2.260625
baseline_MarJun2024,2024-05-29,3.130625
baseline_MarJun2024,2024-05-30,3.8765624999999995
baseline_MarJun2024,2024-05-31,3.293125
baseline_MarJun2024,2024-06-01,0.970625
baseline_MarJun2024,2024-06-02,1.074375
baseline_MarJun2024,2024-06-03,1.149375
baseline_MarJun2024,2024-06-04,1.185625
baseline_MarJun2024,2024-06-05,1.069375
baseline_MarJun2024,2024-06-06,1.0153124999999998
baseline_MarJun2024,2024-06-07,1.28
baseline_MarJun2024,2024-06-08,1.4825
baseline_MarJun2024,2024-06-09,1.539375
baseline_MarJun2024,2024-06-10,1.728125
baseline_MarJun2024,2024-06-11,1.705625
baseline_MarJun2024,2024-06-12,1.55
baseline_MarJun2024,2024-06-13,0.7737499999999999
baseline_MarJun2024,2024-06-14,0.75875
baseline_MarJun2024,2024-06-15,0.659375
baseline_MarJun2024,2024-06-16,0.64
baseline_MarJun2024,2024-06-17,0.618125
baseline_MarJun2024,2024-06-18,0.60875
baseline_MarJun2024,2024-06-19,0.606875
baseline_MarJun2024,2024-06-20,0.580625
