date,station_code,period_window,year,month,dow,PM2.5,NO2,CO,NO,NOX_final,PM2.5_AB_imputed,NO2_AB_imputed,CO_AB_imputed,NO_AB_imputed,NOX_final_AB_imputed
2024-03-01 00:00:00,CE,baseline_MarJul2024,2024,3,4,22.0,,,,,True,True,True,True,True
2024-03-01 01:00:00,CE,baseline_MarJul2024,2024,3,4,27.0,,,,,False,False,False,False,False
2024-03-01 02:00:00,CE,baseline_MarJul2024,2024,3,4,25.0,,,,,False,False,False,False,False
2024-03-01 03:00:00,CE,baseline_MarJul2024,2024,3,4,29.0,,,,,False,False,False,False,False
2024-03-01 04:00:00,CE,baseline_MarJul2024,2024,3,4,26.0,,,,,False,False,False,False,False
2024-03-01 05:00:00,CE,baseline_MarJul2024,2024,3,4,30.0,,,,,False,False,False,False,False
2024-03-01 06:00:00,CE,baseline_MarJul2024,2024,3,4,30.0,,,,,False,False,False,False,False
2024-03-01 07:00:00,CE,baseline_MarJul2024,2024,3,4,33.0,,,,,False,False,False,False,False
2024-03-01 08:00:00,CE,baseline_MarJul2024,2024,3,4,37.0,,,,,False,False,False,False,False
2024-03-01 09:00:00,CE,baseline_MarJul2024,2024,3,4,37.0,,,,,False,False,False,False,False
2024-03-01 10:00:00,CE,baseline_MarJul2024,2024,3,4,60.0,,,,,False,False,False,False,False
2024-03-01 11:00:00,CE,baseline_MarJul2024,2024,3,4,78.0,,,,,False,False,False,False,False
2024-03-01 12:00:00,CE,baseline_MarJul2024,2024,3,4,64.0,,,,,False,False,False,False,False
2024-03-01 13:00:00,CE,baseline_MarJul2024,2024,3,4,78.0,,,,,False,False,False,False,False
2024-03-01 14:00:00,CE,baseline_MarJul2024,2024,3,4,78.0,,,,,False,False,False,False,False
2024-03-01 15:00:00,CE,baseline_MarJul2024,2024,3,4,55.0,,,,,False,False,False,False,False
2024-03-01 16:00:00,CE,baseline_MarJul2024,2024,3,4,40.0,,,,,False,False,False,False,False
2024-03-01 17:00:00,CE,baseline_MarJul2024,2024,3,4,31.0,,,,,False,False,False,False,False
2024-03-01 18:00:00,CE,baseline_MarJul2024,2024,3,4,29.0,,,,,False,False,False,False,False
2024-03-01 19:00:00,CE,baseline_MarJul2024,2024,3,4,30.0,,,,,False,False,False,False,False
2024-03-01 20:00:00,CE,baseline_MarJul2024,2024,3,4,32.0,,,,,False,False,False,False,False
2024-03-01 21:00:00,CE,baseline_MarJul2024,2024,3,4,24.0,,,,,False,False,False,False,False
2024-03-01 22:00:00,CE,baseline_MarJul2024,2024,3,4,26.0,,,,,False,False,False,False,False
2024-03-01 23:00:00,CE,baseline_MarJul2024,2024,3,4,24.0,,,,,False,False,False,False,False
2024-03-02 00:00:00,CE,baseline_MarJul2024,2024,3,5,23.0,,,,,False,False,False,False,False
2024-03-02 01:00:00,CE,baseline_MarJul2024,2024,3,5,26.0,,,,,False,False,False,False,False
2024-03-02 02:00:00,CE,baseline_MarJul2024,2024,3,5,25.0,,,,,False,False,False,False,False
2024-03-02 03:00:00,CE,baseline_MarJul2024,2024,3,5,28.0,,,,,False,False,False,False,False
2024-03-02 04:00:00,CE,baseline_MarJul2024,2024,3,5,28.0,,,,,False,False,False,False,False
2024-03-02 05:00:00,CE,baseline_MarJul2024,2024,3,5,30.0,,,,,False,False,False,False,False
2024-03-02 06:00:00,CE,baseline_MarJul2024,2024,3,5,33.0,,,,,False,False,False,False,False
