date,station_code,period_window,year,month,dow,PM2.5,NO2,CO,NO,NOX_final,PM2.5_AB_imputed,NO2_AB_imputed,CO_AB_imputed,NO_AB_imputed,NOX_final_AB_imputed
2024-03-01 00:00:00,CE,baseline_MarJul2024,2024,3,4,22.0,13.1,2.08,3.1,16.200000000000003,True,True,True,True,True
2024-03-01 01:00:00,CE,baseline_MarJul2024,2024,3,4,27.0,28.3,2.09,8.6,36.9,False,False,False,False,False
2024-03-01 02:00:00,CE,baseline_MarJul2024,2024,3,4,25.0,25.8,2.06,7.9,33.7,False,False,False,False,False
2024-03-01 03:00:00,CE,baseline_MarJul2024,2024,3,4,29.0,31.2,2.08,7.0,38.2,False,False,False,False,False
2024-03-01 04:00:00,CE,baseline_MarJul2024,2024,3,4,26.0,28.1,2.1,4.1,32.2,False,False,False,False,False
2024-03-01 05:00:00,CE,baseline_MarJul2024,2024,3,4,30.0,27.3,2.26,3.7,31.0,False,False,False,False,False
2024-03-01 06:00:00,CE,baseline_MarJul2024,2024,3,4,30.0,28.2,2.24,6.6,34.8,False,False,False,False,False
2024-03-01 07:00:00,CE,baseline_MarJul2024,2024,3,4,33.0,31.2,2.31,27.5,58.7,False,False,False,False,False
2024-03-01 08:00:00,CE,baseline_MarJul2024,2024,3,4,37.0,31.5,2.48,45.4,76.9,False,False,False,False,False
2024-03-01 09:00:00,CE,baseline_MarJul2024,2024,3,4,37.0,33.0,2.64,48.7,81.7,False,False,False,False,False
2024-03-01 10:00:00,CE,baseline_MarJul2024,2024,3,4,60.0,43.8,2.86,70.8,114.6,False,False,False,False,False
2024-03-01 11:00:00,CE,baseline_MarJul2024,2024,3,4,78.0,50.9,2.92,58.2,109.1,False,False,False,False,False
2024-03-01 12:00:00,CE,baseline_MarJul2024,2024,3,4,64.0,43.6,2.62,26.5,70.1,False,False,False,False,False
2024-03-01 13:00:00,CE,baseline_MarJul2024,2024,3,4,78.0,49.7,2.74,20.5,70.2,False,False,False,False,False
2024-03-01 14:00:00,CE,baseline_MarJul2024,2024,3,4,78.0,45.1,2.59,14.3,59.400000000000006,False,False,False,False,False
2024-03-01 15:00:00,CE,baseline_MarJul2024,2024,3,4,55.0,33.5,2.37,8.8,42.3,False,False,False,False,False
2024-03-01 16:00:00,CE,baseline_MarJul2024,2024,3,4,40.0,27.4,2.26,6.9,34.3,False,False,False,False,False
2024-03-01 17:00:00,CE,baseline_MarJul2024,2024,3,4,31.0,22.4,2.2,5.8,28.2,False,False,False,False,False
2024-03-01 18:00:00,CE,baseline_MarJul2024,2024,3,4,29.0,19.8,2.19,4.6,24.4,False,False,False,False,False
2024-03-01 19:00:00,CE,baseline_MarJul2024,2024,3,4,30.0,28.5,2.35,4.2,32.7,False,False,False,False,False
2024-03-01 20:00:00,CE,baseline_MarJul2024,2024,3,4,32.0,30.0,2.41,4.1,34.1,False,False,False,False,False
2024-03-01 21:00:00,CE,baseline_MarJul2024,2024,3,4,24.0,27.9,2.32,4.5,32.4,False,False,False,False,False
2024-03-01 22:00:00,CE,baseline_MarJul2024,2024,3,4,26.0,23.2,2.27,4.2,27.4,False,False,False,False,False
2024-03-01 23:00:00,CE,baseline_MarJul2024,2024,3,4,24.0,15.7,2.16,4.0,19.7,False,False,False,False,False
2024-03-02 00:00:00,CE,baseline_MarJul2024,2024,3,5,23.0,14.0,2.15,3.7,17.7,False,False,False,False,False
2024-03-02 01:00:00,CE,baseline_MarJul2024,2024,3,5,26.0,27.4,2.27,4.3,31.7,False,False,False,False,False
2024-03-02 02:00:00,CE,baseline_MarJul2024,2024,3,5,25.0,27.1,2.23,4.2,31.3,False,False,False,False,False
2024-03-02 03:00:00,CE,baseline_MarJul2024,2024,3,5,28.0,31.4,2.24,4.6,36.0,False,False,False,False,False
2024-03-02 04:00:00,CE,baseline_MarJul2024,2024,3,5,28.0,32.3,2.27,8.1,40.4,False,False,False,False,False
2024-03-02 05:00:00,CE,baseline_MarJul2024,2024,3,5,30.0,32.4,2.38,12.8,45.2,False,False,False,False,False
2024-03-02 06:00:00,CE,baseline_MarJul2024,2024,3,5,33.0,30.1,2.38,12.0,42.1,False,False,False,False,False
2024-03-02 07:00:00,CE,baseline_MarJul2024,2024,3,5,40.0,33.7,2.5,27.1,60.800000000000004,False,False,False,False,False
2024-03-02 08:00:00,CE,baseline_MarJul2024,2024,3,5,43.0,34.9,2.81,57.7,92.6,False,False,False,False,False
2024-03-02 09:00:00,CE,baseline_MarJul2024,2024,3,5,52.0,42.8,3.11,65.0,107.8,False,False,False,False,False
2024-03-02 10:00:00,CE,baseline_MarJul2024,2024,3,5,66.0,54.8,3.28,60.1,114.9,False,False,False,False,False
2024-03-02 11:00:00,CE,baseline_MarJul2024,2024,3,5,57.0,48.6,2.79,29.0,77.6,False,False,False,False,False
2024-03-02 12:00:00,CE,baseline_MarJul2024,2024,3,5,79.0,60.3,2.85,23.9,84.19999999999999,False,False,False,False,False
2024-03-02 13:00:00,CE,baseline_MarJul2024,2024,3,5,67.0,45.6,2.64,12.5,58.1,False,False,False,False,False
2024-03-02 14:00:00,CE,baseline_MarJul2024,2024,3,5,39.0,26.9,2.42,6.6,33.5,False,False,False,False,False
2024-03-02 15:00:00,CE,baseline_MarJul2024,2024,3,5,21.0,15.7,2.14,5.4,21.1,False,False,False,False,False
2024-03-02 16:00:00,CE,baseline_MarJul2024,2024,3,5,21.0,13.3,2.11,4.6,17.9,False,False,False,False,False
2024-03-02 17:00:00,CE,baseline_MarJul2024,2024,3,5,20.0,10.9,2.06,4.2,15.100000000000001,False,False,False,False,False
2024-03-02 18:00:00,CE,baseline_MarJul2024,2024,3,5,19.0,12.2,2.09,4.2,16.4,False,False,False,False,False
2024-03-02 19:00:00,CE,baseline_MarJul2024,2024,3,5,17.0,11.6,2.08,3.9,15.5,False,False,False,False,False
2024-03-02 20:00:00,CE,baseline_MarJul2024,2024,3,5,15.0,13.4,2.1,3.5,16.9,False,False,False,False,False
2024-03-02 21:00:00,CE,baseline_MarJul2024,2024,3,5,16.0,11.5,2.1,3.3,14.8,False,False,False,False,False
2024-03-02 22:00:00,CE,baseline_MarJul2024,2024,3,5,19.0,11.3,2.12,3.2,14.5,False,False,False,False,False
2024-03-02 23:00:00,CE,baseline_MarJul2024,2024,3,5,23.0,14.8,2.19,3.3,18.1,False,False,False,False,False
2024-03-03 00:00:00,CE,baseline_MarJul2024,2024,3,6,25.0,21.8,2.28,3.4,25.2,False,False,False,False,False
2024-03-03 01:00:00,CE,baseline_MarJul2024,2024,3,6,34.0,31.3,2.32,5.1,36.4,False,False,False,False,False
2024-03-03 02:00:00,CE,baseline_MarJul2024,2024,3,6,34.0,28.7,2.28,6.3,35.0,False,False,False,False,False
2024-03-03 03:00:00,CE,baseline_MarJul2024,2024,3,6,36.0,24.0,2.33,6.2,30.2,False,False,False,False,False
2024-03-03 04:00:00,CE,baseline_MarJul2024,2024,3,6,38.0,25.7,2.32,6.5,32.2,False,False,False,False,False
2024-03-03 05:00:00,CE,baseline_MarJul2024,2024,3,6,43.0,25.2,2.32,6.3,31.5,False,False,False,False,False
2024-03-03 06:00:00,CE,baseline_MarJul2024,2024,3,6,44.0,21.4,2.37,4.4,25.799999999999997,False,False,False,False,False
2024-03-03 07:00:00,CE,baseline_MarJul2024,2024,3,6,42.0,18.9,2.43,5.0,23.9,False,False,False,False,False
2024-03-03 08:00:00,CE,baseline_MarJul2024,2024,3,6,40.0,23.4,2.47,14.9,38.3,False,False,False,False,False
2024-03-03 09:00:00,CE,baseline_MarJul2024,2024,3,6,38.0,26.5,2.46,14.3,40.8,False,False,False,False,False
2024-03-03 10:00:00,CE,baseline_MarJul2024,2024,3,6,51.0,24.1,2.5,12.8,36.900000000000006,False,False,False,False,False
2024-03-03 11:00:00,CE,baseline_MarJul2024,2024,3,6,51.0,24.0,2.47,10.0,34.0,False,False,False,False,False
2024-03-03 12:00:00,CE,baseline_MarJul2024,2024,3,6,69.0,44.9,2.77,20.6,65.5,False,False,False,False,False
2024-03-03 13:00:00,CE,baseline_MarJul2024,2024,3,6,66.0,37.1,2.78,10.9,48.0,False,False,False,False,False
2024-03-03 14:00:00,CE,baseline_MarJul2024,2024,3,6,49.0,24.4,2.49,5.9,30.299999999999997,False,False,False,False,False
2024-03-03 15:00:00,CE,baseline_MarJul2024,2024,3,6,37.0,18.1,2.31,4.8,22.900000000000002,False,False,False,False,False
2024-03-03 16:00:00,CE,baseline_MarJul2024,2024,3,6,32.0,15.6,2.26,4.3,19.9,False,False,False,False,False
2024-03-03 17:00:00,CE,baseline_MarJul2024,2024,3,6,30.0,12.9,2.23,3.8,16.7,False,False,False,False,False
2024-03-03 18:00:00,CE,baseline_MarJul2024,2024,3,6,30.0,12.1,2.21,3.6,15.7,False,False,False,False,False
2024-03-03 19:00:00,CE,baseline_MarJul2024,2024,3,6,29.0,15.3,2.27,3.6,18.900000000000002,False,False,False,False,False
2024-03-03 20:00:00,CE,baseline_MarJul2024,2024,3,6,28.0,15.4,2.28,3.6,19.0,False,False,False,False,False
2024-03-03 21:00:00,CE,baseline_MarJul2024,2024,3,6,27.0,10.8,2.21,3.5,14.3,False,False,False,False,False
2024-03-03 22:00:00,CE,baseline_MarJul2024,2024,3,6,27.0,9.6,2.19,3.1,12.7,False,False,False,False,False
2024-03-03 23:00:00,CE,baseline_MarJul2024,2024,3,6,25.0,11.4,2.22,3.1,14.5,False,False,False,False,False
2024-03-04 00:00:00,CE,baseline_MarJul2024,2024,3,0,28.0,17.4,2.29,3.7,21.099999999999998,False,False,False,False,False
2024-03-04 01:00:00,CE,baseline_MarJul2024,2024,3,0,31.0,22.2,2.36,4.2,26.4,False,False,False,False,False
2024-03-04 02:00:00,CE,baseline_MarJul2024,2024,3,0,28.0,12.9,2.24,3.5,16.4,False,False,False,False,False
2024-03-04 03:00:00,CE,baseline_MarJul2024,2024,3,0,29.0,12.1,2.19,4.0,16.1,False,False,False,False,False
2024-03-04 04:00:00,CE,baseline_MarJul2024,2024,3,0,41.0,20.3,2.24,5.7,26.0,False,False,False,False,False
2024-03-04 05:00:00,CE,baseline_MarJul2024,2024,3,0,46.0,19.7,2.3,3.4,23.099999999999998,False,False,False,False,False
2024-03-04 06:00:00,CE,baseline_MarJul2024,2024,3,0,41.0,20.0,2.26,3.7,23.7,False,False,False,False,False
2024-03-04 07:00:00,CE,baseline_MarJul2024,2024,3,0,41.0,29.8,2.42,11.6,41.4,False,False,False,False,False
2024-03-04 08:00:00,CE,baseline_MarJul2024,2024,3,0,43.0,31.8,2.64,36.6,68.4,False,False,False,False,False
2024-03-04 09:00:00,CE,baseline_MarJul2024,2024,3,0,42.0,38.4,2.77,37.2,75.6,False,False,False,False,False
2024-03-04 10:00:00,CE,baseline_MarJul2024,2024,3,0,50.0,41.9,3.02,43.1,85.0,False,False,False,False,False
2024-03-04 11:00:00,CE,baseline_MarJul2024,2024,3,0,62.0,37.1,3.17,20.3,57.400000000000006,False,False,False,False,False
2024-03-04 12:00:00,CE,baseline_MarJul2024,2024,3,0,89.0,61.8,3.33,26.5,88.3,False,False,False,False,False
2024-03-04 13:00:00,CE,baseline_MarJul2024,2024,3,0,75.0,47.3,2.85,13.7,61.0,False,False,False,False,False
2024-03-04 14:00:00,CE,baseline_MarJul2024,2024,3,0,62.0,38.3,2.66,9.0,47.3,False,False,False,False,False
2024-03-04 15:00:00,CE,baseline_MarJul2024,2024,3,0,47.0,28.6,2.52,6.8,35.4,False,False,False,False,False
2024-03-04 16:00:00,CE,baseline_MarJul2024,2024,3,0,39.0,23.6,2.46,6.0,29.6,False,False,False,False,False
2024-03-04 17:00:00,CE,baseline_MarJul2024,2024,3,0,34.0,19.7,2.35,5.7,25.4,False,False,False,False,False
2024-03-04 18:00:00,CE,baseline_MarJul2024,2024,3,0,34.0,17.7,2.35,4.7,22.4,False,False,False,False,False
2024-03-04 19:00:00,CE,baseline_MarJul2024,2024,3,0,33.0,18.3,2.4,4.2,22.5,False,False,False,False,False
2024-03-04 20:00:00,CE,baseline_MarJul2024,2024,3,0,33.0,15.3,2.36,3.8,19.1,False,False,False,False,False
2024-03-04 21:00:00,CE,baseline_MarJul2024,2024,3,0,34.0,20.2,2.42,4.1,24.299999999999997,False,False,False,False,False
2024-03-04 22:00:00,CE,baseline_MarJul2024,2024,3,0,33.0,10.6,2.24,3.6,14.2,False,False,False,False,False
2024-03-04 23:00:00,CE,baseline_MarJul2024,2024,3,0,34.0,11.2,2.25,3.5,14.7,False,False,False,False,False
2024-03-05 00:00:00,CE,baseline_MarJul2024,2024,3,1,32.0,12.8,2.25,3.1,15.9,False,False,False,False,False
2024-03-05 01:00:00,CE,baseline_MarJul2024,2024,3,1,32.0,15.6,2.27,3.3,18.9,False,False,False,False,False
2024-03-05 02:00:00,CE,baseline_MarJul2024,2024,3,1,24.45,10.2,2.19,3.2,13.399999999999999,True,False,False,False,False
