station,date,iaqi_pm25,iaqi_o3,iaqi_co,iaqi_no2,aqi
CE,2020-01-01,,23.0,44.0,9.0,44.0
CE,2020-01-02,,24.0,41.0,15.0,41.0
CE,2020-01-03,,44.0,41.0,14.0,44.0
CE,2020-01-04,,40.0,35.0,16.0,40.0
CE,2020-01-05,,48.0,36.0,19.0,48.0
CE,2020-01-06,,47.0,43.0,33.0,47.0
CE,2020-01-07,,48.0,42.0,17.0,48.0
CE,2020-01-08,,43.0,39.0,17.0,43.0
CE,2020-01-09,,27.0,48.0,26.0,48.0
CE,2020-01-10,,25.0,50.0,33.0,50.0
CE,2020-01-11,,46.0,48.0,13.0,48.0
CE,2020-01-12,,48.0,40.0,18.0,48.0
CE,2020-01-13,,28.0,50.0,27.0,50.0
CE,2020-01-14,,74.0,52.0,31.0,74.0
CE,2020-01-15,,22.0,28.0,27.0,28.0
CE,2020-01-16,,17.0,31.0,20.0,31.0
CE,2020-01-17,,19.0,24.0,11.0,24.0
CE,2020-01-18,,30.0,25.0,13.0,30.0
CE,2020-01-19,,24.0,19.0,12.0,24.0
CE,2020-01-20,,39.0,17.0,10.0,39.0
CE,2020-01-21,,37.0,18.0,10.0,37.0
CE,2020-01-22,,28.0,38.0,17.0,38.0
CE,2020-01-23,,38.0,43.0,20.0,43.0
CE,2020-01-24,,43.0,19.0,13.0,43.0
CE,2020-01-25,,36.0,32.0,22.0,36.0
CE,2020-01-26,,41.0,35.0,17.0,41.0
CE,2020-01-27,,50.0,25.0,26.0,50.0
CE,2020-01-28,,38.0,28.0,14.0,38.0
CE,2020-01-29,,42.0,24.0,10.0,42.0
CE,2020-01-30,,34.0,24.0,14.0,34.0
CE,2020-01-31,,34.0,25.0,15.0,34.0
CE,2020-02-01,,33.0,24.0,17.0,33.0
CE,2020-02-02,,67.0,26.0,16.0,67.0
CE,2020-02-03,,38.0,30.0,22.0,38.0
CE,2020-02-04,,35.0,31.0,21.0,35.0
CE,2020-02-05,,19.0,28.0,20.0,28.0
CE,2020-02-06,,43.0,27.0,14.0,43.0
CE,2020-02-07,,47.0,33.0,27.0,47.0
CE,2020-02-08,,46.0,31.0,20.0,46.0
CE,2020-02-09,,61.0,28.0,24.0,61.0
CE,2020-02-10,,112.0,31.0,20.0,112.0
