period_window,pollutant,coverage_pct_panel
baseline_MarJul2024,PM2.5,13.89
baseline_MarJul2024,NO2,14.93
baseline_MarJul2024,CO,29.87
baseline_MarJul2024,NO,29.84
baseline_MarJul2024,NOX_final,29.87
current_MarJul2025,PM2.5,14.94
current_MarJul2025,NO2,15.12
current_MarJul2025,CO,29.12
current_MarJul2025,NO,29.31
current_MarJul2025,NOX_final,29.57
pandemic_MarJul2020,PM2.5,13.28
pandemic_MarJul2020,NO2,13.54
pandemic_MarJul2020,CO,29.82
pandemic_MarJul2020,NO,26.98
pandemic_MarJul2020,NOX_final,28.47
