period_window,pollutant,imputed_pct_real_among_values
pandemic_MarJul2020,PM2.5,6.79
baseline_MarJul2024,PM2.5,8.72
current_MarJul2025,PM2.5,2.66
pandemic_MarJul2020,NO2,0.76
baseline_MarJul2024,NO2,5.27
current_MarJul2025,NO2,6.69
pandemic_MarJul2020,CO,1.05
baseline_MarJul2024,CO,2.77
current_MarJul2025,CO,1.49
pandemic_MarJul2020,NO,13.58
baseline_MarJul2024,NO,3.33
current_MarJul2025,NO,12.13
pandemic_MarJul2020,NOX_final,8.37
baseline_MarJul2024,NOX_final,3.42
current_MarJul2025,NOX_final,4.26
