date,aqi,category,aqi_ma7
2020-01-01,96.0,Moderate,96.0
2020-01-02,57.0,Moderate,76.5
2020-01-03,44.0,Good,65.66666666666667
2020-01-04,63.0,Moderate,65.0
2020-01-05,119.0,USG,75.8
2020-01-06,117.0,USG,82.66666666666667
2020-01-07,48.0,Good,77.71428571428571
2020-01-08,56.0,Moderate,72.0
2020-01-09,103.0,USG,78.57142857142857
2020-01-10,115.0,USG,88.71428571428571
2020-01-11,48.0,Good,86.57142857142857
2020-01-12,77.0,Moderate,80.57142857142857
2020-01-13,111.0,USG,79.71428571428571
2020-01-14,139.0,USG,92.71428571428571
2020-01-15,137.0,USG,104.28571428571429
2020-01-16,79.0,Moderate,100.85714285714286
2020-01-17,62.0,Moderate,93.28571428571429
2020-01-18,72.0,Moderate,96.71428571428571
2020-01-19,36.0,Good,90.85714285714286
2020-01-20,39.0,Good,80.57142857142857
2020-01-21,38.0,Good,66.14285714285714
2020-01-22,77.0,Moderate,57.57142857142857
2020-01-23,89.0,Moderate,59.0
2020-01-24,53.0,Moderate,57.714285714285715
2020-01-25,87.0,Moderate,59.857142857142854
2020-01-26,93.0,Moderate,68.0
2020-01-27,64.0,Moderate,71.57142857142857
2020-01-28,54.0,Moderate,73.85714285714286
2020-01-29,46.0,Good,69.42857142857143
2020-01-30,62.0,Moderate,65.57142857142857
2020-01-31,79.0,Moderate,69.28571428571429
2020-02-01,72.0,Moderate,67.14285714285714
2020-02-02,99.0,Moderate,68.0
2020-02-03,97.0,Moderate,72.71428571428571
2020-02-04,85.0,Moderate,77.14285714285714
2020-02-05,54.0,Moderate,78.28571428571429
2020-02-06,49.0,Good,76.42857142857143
2020-02-07,78.0,Moderate,76.28571428571429
2020-02-08,63.0,Moderate,75.0
2020-02-09,89.0,Moderate,73.57142857142857
2020-02-10,112.0,USG,75.71428571428571
2020-02-11,66.0,Moderate,73.0
2020-02-12,71.0,Moderate,75.42857142857143
2020-02-13,64.0,Moderate,77.57142857142857
2020-02-14,70.0,Moderate,76.42857142857143
2020-02-15,88.0,Moderate,80.0
2020-02-16,149.0,USG,88.57142857142857
2020-02-17,87.0,Moderate,85.0
2020-02-18,77.0,Moderate,86.57142857142857
2020-02-19,55.0,Moderate,84.28571428571429
2020-02-20,41.0,Good,81.0
2020-02-21,60.0,Moderate,79.57142857142857
2020-02-22,53.0,Moderate,74.57142857142857
2020-02-23,92.0,Moderate,66.42857142857143
2020-02-24,85.0,Moderate,66.14285714285714
2020-02-25,71.0,Moderate,65.28571428571429
2020-02-26,44.0,Good,63.714285714285715
2020-02-27,48.0,Good,64.71428571428571
2020-02-28,59.0,Moderate,64.57142857142857
2020-02-29,54.0,Moderate,64.71428571428571
2020-03-01,101.0,USG,66.0
2020-03-02,65.0,Moderate,63.142857142857146
2020-03-03,96.0,Moderate,66.71428571428571
2020-03-04,62.0,Moderate,69.28571428571429
2020-03-05,46.0,Good,69.0
2020-03-06,52.0,Moderate,68.0
2020-03-07,54.0,Moderate,68.0
2020-03-08,64.0,Moderate,62.714285714285715
2020-03-09,63.0,Moderate,62.42857142857143
2020-03-10,68.0,Moderate,58.42857142857143
2020-03-11,76.0,Moderate,60.42857142857143
2020-03-12,68.0,Moderate,63.57142857142857
2020-03-13,101.0,USG,70.57142857142857
2020-03-14,97.0,Moderate,76.71428571428571
2020-03-15,74.0,Moderate,78.14285714285714
2020-03-16,57.0,Moderate,77.28571428571429
2020-03-17,64.0,Moderate,76.71428571428571
2020-03-18,64.0,Moderate,75.0
2020-03-19,71.0,Moderate,75.42857142857143
2020-03-20,59.0,Moderate,69.42857142857143
2020-03-21,60.0,Moderate,64.14285714285714
2020-03-22,68.0,Moderate,63.285714285714285
2020-03-23,80.0,Moderate,66.57142857142857
2020-03-24,101.0,USG,71.85714285714286
2020-03-25,87.0,Moderate,75.14285714285714
2020-03-26,101.0,USG,79.42857142857143
2020-03-27,129.0,USG,89.42857142857143
2020-03-28,74.0,Moderate,91.42857142857143
2020-03-29,59.0,Moderate,90.14285714285714
2020-03-30,77.0,Moderate,89.71428571428571
2020-03-31,90.0,Moderate,88.14285714285714
2020-04-01,62.0,Moderate,84.57142857142857
2020-04-02,76.0,Moderate,81.0
2020-04-03,79.0,Moderate,73.85714285714286
2020-04-04,49.0,Good,70.28571428571429
2020-04-05,62.0,Moderate,70.71428571428571
2020-04-06,65.0,Moderate,69.0
2020-04-07,66.0,Moderate,65.57142857142857
2020-04-08,97.0,Moderate,70.57142857142857
2020-04-09,140.0,USG,79.71428571428571
2020-04-10,65.0,Moderate,77.71428571428571
2020-04-11,79.0,Moderate,82.0
2020-04-12,90.0,Moderate,86.0
2020-04-13,77.0,Moderate,87.71428571428571
2020-04-14,64.0,Moderate,87.42857142857143
2020-04-15,59.0,Moderate,82.0
2020-04-16,43.0,Good,68.14285714285714
2020-04-17,93.0,Moderate,72.14285714285714
2020-04-18,66.0,Moderate,70.28571428571429
2020-04-19,66.0,Moderate,66.85714285714286
2020-04-20,87.0,Moderate,68.28571428571429
2020-04-21,133.0,USG,78.14285714285714
2020-04-22,161.0,Unhealthy,92.71428571428571
2020-04-23,143.0,USG,107.0
2020-04-24,197.0,Unhealthy,121.85714285714286
2020-04-25,113.0,USG,128.57142857142858
2020-04-26,61.0,Moderate,127.85714285714286
2020-04-27,63.0,Moderate,124.42857142857143
2020-04-28,132.0,USG,124.28571428571429
2020-04-29,80.0,Moderate,112.71428571428571
2020-04-30,56.0,Moderate,100.28571428571429
2020-05-01,132.0,USG,91.0
2020-05-02,136.0,USG,94.28571428571429
2020-05-03,112.0,USG,101.57142857142857
2020-05-04,97.0,Moderate,106.42857142857143
2020-05-05,112.0,USG,103.57142857142857
2020-05-06,115.0,USG,108.57142857142857
2020-05-07,60.0,Moderate,109.14285714285714
2020-05-08,132.0,USG,109.14285714285714
2020-05-09,55.0,Moderate,97.57142857142857
2020-05-10,83.0,Moderate,93.42857142857143
2020-05-11,47.0,Good,86.28571428571429
2020-05-12,118.0,USG,87.14285714285714
2020-05-13,61.0,Moderate,79.42857142857143
2020-05-14,65.0,Moderate,80.14285714285714
2020-05-15,105.0,USG,76.28571428571429
2020-05-16,93.0,Moderate,81.71428571428571
2020-05-17,104.0,USG,84.71428571428571
2020-05-18,104.0,USG,92.85714285714286
2020-05-19,190.0,Unhealthy,103.14285714285714
2020-05-20,122.0,USG,111.85714285714286
2020-05-21,117.0,USG,119.28571428571429
2020-05-22,154.0,Unhealthy,126.28571428571429
2020-05-23,78.0,Moderate,124.14285714285714
2020-05-24,68.0,Moderate,119.0
2020-05-25,70.0,Moderate,114.14285714285714
2020-05-26,64.0,Moderate,96.14285714285714
2020-05-27,61.0,Moderate,87.42857142857143
2020-05-28,67.0,Moderate,80.28571428571429
2020-05-29,71.0,Moderate,68.42857142857143
2020-05-30,87.0,Moderate,69.71428571428571
2020-05-31,104.0,USG,74.85714285714286
2020-06-01,64.0,Moderate,74.0
2020-06-02,42.0,Good,70.85714285714286
2020-06-03,50.0,Good,69.28571428571429
2020-06-04,51.0,Moderate,67.0
2020-06-05,56.0,Moderate,64.85714285714286
2020-06-06,53.0,Moderate,60.0
2020-06-07,90.0,Moderate,58.0
2020-06-08,122.0,USG,66.28571428571429
2020-06-09,112.0,USG,76.28571428571429
2020-06-10,74.0,Moderate,79.71428571428571
2020-06-11,60.0,Moderate,81.0
2020-06-12,118.0,USG,89.85714285714286
2020-06-13,177.0,Unhealthy,107.57142857142857
2020-06-14,164.0,Unhealthy,118.14285714285714
2020-06-15,115.0,USG,117.14285714285714
2020-06-16,47.0,Good,107.85714285714286
2020-06-17,40.0,Good,103.0
2020-06-18,51.0,Moderate,101.71428571428571
2020-06-19,49.0,Good,91.85714285714286
2020-06-20,34.0,Good,71.42857142857143
2020-06-21,50.0,Good,55.142857142857146
2020-06-22,64.0,Moderate,47.857142857142854
2020-06-23,48.0,Good,48.0
2020-06-24,58.0,Moderate,50.57142857142857
2020-06-25,50.0,Good,50.42857142857143
2020-06-26,32.0,Good,48.0
2020-06-27,35.0,Good,48.142857142857146
2020-06-28,74.0,Moderate,51.57142857142857
2020-06-29,44.0,Good,48.714285714285715
2020-06-30,44.0,Good,48.142857142857146
2020-07-01,100.0,Moderate,54.142857142857146
2020-07-02,67.0,Moderate,56.57142857142857
2020-07-03,42.0,Good,58.0
2020-07-04,65.0,Moderate,62.285714285714285
2020-07-05,64.0,Moderate,60.857142857142854
2020-07-06,64.0,Moderate,63.714285714285715
2020-07-07,76.0,Moderate,68.28571428571429
2020-07-08,80.0,Moderate,65.42857142857143
2020-07-09,81.0,Moderate,67.42857142857143
2020-07-10,80.0,Moderate,72.85714285714286
2020-07-11,56.0,Moderate,71.57142857142857
2020-07-12,58.0,Moderate,70.71428571428571
2020-07-13,64.0,Moderate,70.71428571428571
2020-07-14,74.0,Moderate,70.42857142857143
2020-07-15,84.0,Moderate,71.0
2020-07-16,80.0,Moderate,70.85714285714286
2020-07-17,87.0,Moderate,71.85714285714286
2020-07-18,79.0,Moderate,75.14285714285714
2020-07-19,80.0,Moderate,78.28571428571429
