period_window,station_code,pollutant,rows_total,rows_observed,coverage_pct,imputed_pct_among_values
baseline_MarJul2024,CE,PM2.5,3625,2690,74.21,4.01
baseline_MarJul2024,CE,NO2,3625,3625,100.0,5.27
baseline_MarJul2024,CE,CO,3625,3625,100.0,2.7
baseline_MarJul2024,CE,NO,3625,3618,99.81,5.09
baseline_MarJul2024,CE,NOX_final,3625,3625,100.0,5.27
baseline_MarJul2024,NE,PM2.5,3625,3371,92.99,8.72
baseline_MarJul2024,NE,NO2,3625,3625,100.0,1.99
baseline_MarJul2024,NE,CO,3625,3625,100.0,2.73
baseline_MarJul2024,NE,NO,3625,3625,100.0,2.37
baseline_MarJul2024,NE,NOX_final,3625,3625,100.0,2.37
baseline_MarJul2024,NE2,PM2.5,3504,3330,95.03,8.2
baseline_MarJul2024,NE2,NO2,3504,3504,100.0,2.8
baseline_MarJul2024,NE2,CO,3504,2396,68.38,3.55
baseline_MarJul2024,NE2,NO,3504,3503,99.97,3.08
baseline_MarJul2024,NE2,NOX_final,3504,3503,99.97,3.08
baseline_MarJul2024,NO,PM2.5,2645,427,16.14,27.87
baseline_MarJul2024,NO,NO2,2645,2642,99.89,12.11
baseline_MarJul2024,NO,CO,2645,2522,95.35,8.76
baseline_MarJul2024,NO,NO,2645,2645,100.0,13.95
baseline_MarJul2024,NO,NOX_final,2645,2642,99.89,14.0
baseline_MarJul2024,NO2,PM2.5,3625,2212,61.02,7.55
baseline_MarJul2024,NO2,NO2,3625,3558,98.15,2.84
baseline_MarJul2024,NO2,CO,3625,3625,100.0,2.84
baseline_MarJul2024,NO2,NO,3625,3562,98.26,5.39
baseline_MarJul2024,NO2,NOX_final,3625,3557,98.12,5.43
baseline_MarJul2024,SE,PM2.5,3625,2373,65.46,8.6
baseline_MarJul2024,SE,NO2,3625,3625,100.0,1.82
baseline_MarJul2024,SE,CO,3625,3625,100.0,1.82
baseline_MarJul2024,SE,NO,3625,3625,100.0,2.84
baseline_MarJul2024,SE,NOX_final,3625,3625,100.0,2.87
baseline_MarJul2024,SO,PM2.5,3625,2607,71.92,5.83
baseline_MarJul2024,SO,NO2,3625,3625,100.0,1.08
baseline_MarJul2024,SO,CO,3625,3625,100.0,1.3
baseline_MarJul2024,SO,NO,3625,3625,100.0,1.57
baseline_MarJul2024,SO,NOX_final,3625,3625,100.0,1.57
current_MarJul2025,CE,PM2.5,2928,2925,99.9,9.3
current_MarJul2025,CE,NO2,2928,2928,100.0,6.69
current_MarJul2025,CE,CO,2928,2928,100.0,1.67
current_MarJul2025,CE,NO,2928,2878,98.29,21.58
current_MarJul2025,CE,NOX_final,2928,2928,100.0,6.69
current_MarJul2025,NE,PM2.5,2925,2894,98.94,2.66
current_MarJul2025,NE,NO2,2925,2208,75.49,3.53
current_MarJul2025,NE,CO,2925,2208,75.49,2.85
current_MarJul2025,NE,NO,2925,2207,75.45,4.03
current_MarJul2025,NE,NOX_final,2925,2396,81.91,3.51
current_MarJul2025,NE2,PM2.5,2025,0,0.0,0.0
current_MarJul2025,NE2,NO2,2025,744,36.74,3.23
