station_code,pollutant,period,neighbors_hint,has_neighbors,has_medium,neighbors_count
CE,PM2.5,pandemic,SE|SO|NO,True,True,3
CE,PM2.5,transition,SE|SO|NO2,True,True,3
CE,PM2.5,current,SE|SO,True,True,2
NE,PM2.5,pandemic,NO,True,True,1
NE,PM2.5,transition,NO|NE2|SE,True,True,3
NE,PM2.5,current,NE2|SO,True,True,2
NE2,PM2.5,pandemic,,False,True,0
NE2,PM2.5,transition,NE,True,True,1
NO,PM2.5,pandemic,NE|SO|SE,True,True,3
NO,PM2.5,transition,NE|NO2|SO,True,True,3
NO2,PM2.5,pandemic,,False,True,0
NO2,PM2.5,transition,SE|SO|NO,True,True,3
NO2,PM2.5,current,,False,True,0
SE,PM2.5,pandemic,CE|NO,True,True,2
SE,PM2.5,transition,CE|NE|NO2,True,True,3
SE,PM2.5,current,CE,True,True,1
SO,PM2.5,pandemic,NO|CE,True,True,2
SO,PM2.5,transition,CE|NO2|SE,True,True,3
SO,PM2.5,current,CE|NE,True,True,2
CE,NO2,pandemic,SE|NE|NO,True,True,3
CE,NO2,transition,SO|SE|NE,True,True,3
CE,NO2,current,SO|SE|NE,True,True,3
NE,NO2,transition,SE|NE2|NO,True,True,3
NE,NO2,current,NE2|SE|CE,True,True,3
NE2,NO2,transition,NE|NO2|NO,True,True,3
NE2,NO2,current,NE,True,True,1
NO,NO2,transition,NE|SO|CE,True,True,3
NO,NO2,current,NE|CE|SO,True,True,3
NO2,NO2,pandemic,SO|NO|NE,True,True,3
NO2,NO2,transition,SO|NE|NO,True,True,3
NO2,NO2,current,,False,True,0
SE,NO2,transition,CE|NE|SO,True,True,3
SE,NO2,current,CE|NE|SO,True,True,3
SO,NO2,pandemic,NO2|NO|SE,True,True,3
SO,NO2,transition,CE|NO2|SE,True,True,3
SO,NO2,current,CE|NE|SE,True,True,3
CE,CO,pandemic,SE|NE,True,True,2
CE,CO,transition,SE|SO,True,True,2
CE,CO,current,SO|NO2|NO,True,True,3
NE,CO,pandemic,NO|CE|SE,True,True,3
NE,CO,transition,,False,True,0
NE,CO,current,NE2|SE,True,True,2
NE2,CO,pandemic,NO2,True,True,1
NE2,CO,transition,,False,True,0
NE2,CO,current,NE,True,True,1
NO,CO,transition,,False,True,0
NO,CO,current,SO|CE,True,True,2
NO2,CO,pandemic,NE2,True,True,1
NO2,CO,transition,,False,True,0
NO2,CO,current,SO|CE,True,True,2
SE,CO,pandemic,NO|CE|NE,True,True,3
SE,CO,transition,SO|CE,True,True,2
SE,CO,current,NE,True,True,1
SO,CO,pandemic,NO,True,True,1
SO,CO,transition,SE|CE,True,True,2
SO,CO,current,CE|NO2|NO,True,True,3
CE,NO,pandemic,SE,True,True,1
CE,NO,transition,SE|SO,True,True,2
CE,NO,current,SE,True,True,1
NE,NO,pandemic,SE|SO,True,True,2
NE,NO,transition,NE2|SE|SO,True,True,3
NE,NO,current,NE2|SO|NO,True,True,3
NE2,NO,transition,NE,True,True,1
NE2,NO,current,NE,True,True,1
NO,NO,pandemic,,False,True,0
NO,NO,transition,,False,True,0
NO,NO,current,SO|SE|NE,True,True,3
NO2,NO,pandemic,,False,True,0
NO2,NO,transition,SO,True,True,1
NO2,NO,current,,False,True,0
SE,NO,transition,SO|CE|NE,True,True,3
SE,NO,current,SO|CE|NO,True,True,3
SO,NO,pandemic,SE|NE,True,True,2
SO,NO,transition,SE|NO2|CE,True,True,3
SO,NO,current,NO|SE|NE,True,True,3
CE,NOX_final,pandemic,SE|NE|SO,True,True,3
CE,NOX_final,transition,SE|SO|NE,True,True,3
CE,NOX_final,current,SE|SO|NE,True,True,3
NE,NOX_final,transition,NE2|SE|SO,True,True,3
NE,NOX_final,current,NE2|SO|NO,True,True,3
NE2,NOX_final,transition,NE|SO|SE,True,True,3
NE2,NOX_final,current,NE,True,True,1
NO,NOX_final,transition,,False,True,0
NO,NOX_final,current,SO|SE|NE,True,True,3
NO2,NOX_final,pandemic,SE,True,True,1
NO2,NOX_final,transition,SO|SE|NE2,True,True,3
NO2,NOX_final,current,,False,True,0
SE,NOX_final,transition,SO|CE|NE,True,True,3
SE,NOX_final,current,CE|SO|NO,True,True,3
SO,NOX_final,pandemic,SE|NE|CE,True,True,3
SO,NOX_final,transition,SE|CE|NO2,True,True,3
SO,NOX_final,current,CE|NO|SE,True,True,3
