station_code,pollutant,period,total_hours,total_gaps,short_gaps,med_gaps,long_gaps,total_missing_hours,missing_pct,max_gap_h,mean_gap_h
CE,CO,current,21888.0,90.0,71.0,18.0,1.0,527.0,2.41,64.0,5.855555555555555
CE,CO,pandemic,17544.0,76.0,66.0,8.0,2.0,786.0,4.48,503.0,10.342105263157896
CE,CO,transition,8760.0,48.0,43.0,5.0,0.0,147.0,1.68,23.0,3.0625
CE,NO,current,21888.0,364.0,313.0,51.0,0.0,1438.0,6.57,40.0,3.9505494505494507
CE,NO,pandemic,17544.0,882.0,772.0,108.0,2.0,3073.0,17.52,66.0,3.484126984126984
CE,NO,transition,8760.0,232.0,227.0,5.0,0.0,500.0,5.71,23.0,2.1551724137931036
CE,NO2,current,21888.0,127.0,98.0,29.0,0.0,650.0,2.97,37.0,5.118110236220472
CE,NO2,pandemic,17544.0,340.0,251.0,85.0,4.0,2269.0,12.93,295.0,6.673529411764706
CE,NO2,transition,8760.0,53.0,47.0,6.0,0.0,155.0,1.77,23.0,2.9245283018867925
CE,NOX_final,current,21888.0,127.0,98.0,29.0,0.0,649.0,2.97,37.0,5.110236220472441
CE,NOX_final,pandemic,17544.0,332.0,255.0,75.0,2.0,1822.0,10.39,66.0,5.4879518072289155
CE,NOX_final,transition,8760.0,50.0,45.0,5.0,0.0,151.0,1.72,23.0,3.02
CE,O3,current,21888.0,250.0,217.0,33.0,0.0,883.0,4.03,37.0,3.532
CE,O3,pandemic,17544.0,223.0,180.0,32.0,11.0,2522.0,14.38,501.0,11.309417040358744
CE,O3,transition,8760.0,109.0,99.0,10.0,0.0,312.0,3.56,24.0,2.8623853211009176
CE,PM2.5,current,21888.0,405.0,344.0,44.0,17.0,3190.0,14.57,282.0,7.8765432098765435
CE,PM2.5,pandemic,17544.0,489.0,427.0,56.0,6.0,2687.0,15.32,432.0,5.494887525562373
CE,PM2.5,transition,8760.0,148.0,124.0,20.0,4.0,827.0,9.44,117.0,5.587837837837838
