period_window,start,end,pollutant,rows_total,rows_observed,coverage_pct,imputed_count_among_values,imputed_pct_among_values,na_count
pandemic_JanJul2020,2020-01-01,2020-07-30,PM2.5,34364,33335,97.01,3300,9.9,1029
pandemic_JanJul2020,2020-01-01,2020-07-30,NO2,34364,12764,37.14,1913,14.99,21600
pandemic_JanJul2020,2020-01-01,2020-07-30,CO,34364,20184,58.74,437,2.17,14180
pandemic_JanJul2020,2020-01-01,2020-07-30,O3,34364,17138,49.87,397,2.32,17226
pandemic_JanJul2020,2020-01-01,2020-07-30,NO,34364,18348,53.39,2635,14.36,16016
pandemic_JanJul2020,2020-01-01,2020-07-30,NOX_final,34364,14689,42.75,756,5.15,19675
baseline_JanJul2024,2024-01-01,2024-07-30,PM2.5,34860,25457,73.03,2008,7.89,9403
baseline_JanJul2024,2024-01-01,2024-07-30,NO2,34860,34066,97.72,1098,3.22,794
baseline_JanJul2024,2024-01-01,2024-07-30,CO,34860,32927,94.45,921,2.8,1933
baseline_JanJul2024,2024-01-01,2024-07-30,O3,34860,33881,97.19,866,2.56,979
baseline_JanJul2024,2024-01-01,2024-07-30,NO,34860,34066,97.72,1359,3.99,794
baseline_JanJul2024,2024-01-01,2024-07-30,NOX_final,34860,34064,97.72,1373,4.03,796
current_JanJul2025,2025-01-01,2025-07-30,PM2.5,29998,20247,67.49,1655,8.17,9751
current_JanJul2025,2025-01-01,2025-07-30,NO2,29998,24232,80.78,1069,4.41,5766
current_JanJul2025,2025-01-01,2025-07-30,CO,29998,25603,85.35,1034,4.04,4395
current_JanJul2025,2025-01-01,2025-07-30,O3,29998,28510,95.04,612,2.15,1488
current_JanJul2025,2025-01-01,2025-07-30,NO,29998,24341,81.14,1787,7.34,5657
current_JanJul2025,2025-01-01,2025-07-30,NOX_final,29998,24929,83.1,1091,4.38,5069
