period_window,start,end,pollutant,rows_total,rows_observed,coverage_pct,imputed_count_among_values,imputed_pct_among_values,na_count
pandemic_MarJul2020,2020-03-01,2020-07-30,PM2.5,24284,23560,97.02,2426,10.3,724
pandemic_MarJul2020,2020-03-01,2020-07-30,NO2,24284,9006,37.09,1622,18.01,15278
pandemic_MarJul2020,2020-03-01,2020-07-30,CO,24284,12108,49.86,245,2.02,12176
pandemic_MarJul2020,2020-03-01,2020-07-30,NO,24284,12626,51.99,2106,16.68,11658
pandemic_MarJul2020,2020-03-01,2020-07-30,NOX_final,24284,10892,44.85,648,5.95,13392
baseline_MarJul2024,2024-03-01,2024-07-30,PM2.5,24274,17010,70.07,1317,7.74,7264
baseline_MarJul2024,2024-03-01,2024-07-30,NO2,24274,24204,99.71,887,3.66,70
baseline_MarJul2024,2024-03-01,2024-07-30,CO,24274,23043,94.93,719,3.12,1231
baseline_MarJul2024,2024-03-01,2024-07-30,NO,24274,24203,99.71,1099,4.54,71
baseline_MarJul2024,2024-03-01,2024-07-30,NOX_final,24274,24202,99.7,1109,4.58,72
current_MarJul2025,2025-03-01,2025-07-30,PM2.5,19370,13731,70.89,866,6.31,5639
current_MarJul2025,2025-03-01,2025-07-30,NO2,19370,14492,74.82,598,4.13,4878
current_MarJul2025,2025-03-01,2025-07-30,CO,19370,16787,86.66,690,4.11,2583
current_MarJul2025,2025-03-01,2025-07-30,NO,19370,14438,74.54,1270,8.8,4932
current_MarJul2025,2025-03-01,2025-07-30,NOX_final,19370,15026,77.57,602,4.01,4344
