period_window,start,end,pollutant,rows_total,rows_observed,coverage_pct,imputed_count_among_values,imputed_pct_among_values,na_count
pandemic_MarJun2020,2020-03-01,2020-06-30,PM2.5,19410,18884,97.29,2072,10.97,526
pandemic_MarJun2020,2020-03-01,2020-06-30,NO2,19410,7320,37.71,1289,17.61,12090
pandemic_MarJun2020,2020-03-01,2020-06-30,CO,19410,9334,48.09,170,1.82,10076
pandemic_MarJun2020,2020-03-01,2020-06-30,NO,19410,10153,52.31,1672,16.47,9257
pandemic_MarJun2020,2020-03-01,2020-06-30,NOX_final,19410,8668,44.66,470,5.42,10742
baseline_MarJun2024,2024-03-01,2024-06-30,PM2.5,19958,13131,65.79,1039,7.91,6827
baseline_MarJun2024,2024-03-01,2024-06-30,NO2,19958,19904,99.73,848,4.26,54
baseline_MarJun2024,2024-03-01,2024-06-30,CO,19958,19443,97.42,672,3.46,515
baseline_MarJun2024,2024-03-01,2024-06-30,NO,19958,19901,99.71,1049,5.27,57
baseline_MarJun2024,2024-03-01,2024-06-30,NOX_final,19958,19902,99.72,1059,5.32,56
current_MarJun2025,2025-03-01,2025-06-30,PM2.5,19232,13616,70.8,864,6.35,5616
current_MarJun2025,2025-03-01,2025-06-30,NO2,19232,14400,74.88,597,4.15,4832
current_MarJun2025,2025-03-01,2025-06-30,CO,19232,16672,86.69,690,4.14,2560
current_MarJun2025,2025-03-01,2025-06-30,NO,19232,14346,74.59,1266,8.82,4886
current_MarJun2025,2025-03-01,2025-06-30,NOX_final,19232,14911,77.53,602,4.04,4321
