station,pollutant,month,auc,mean,p50,p90,max_diario,valid_hours
CE,CO,2020-01-01,1916.3700000000001,2.5757661290322584,2.545,3.777,5.34,744.0
CE,CO,2020-02-01,1789.225,2.5707255747126436,2.54,3.035,4.55,696.0
CE,CO,2020-03-01,2421.8,3.2551075268817207,3.26,3.73,4.53,744.0
CE,CO,2020-04-01,630.7875,0.87609375,0.81,1.19,3.54,720.0
CE,CO,2020-05-01,1072.4274999999998,1.4414348118279567,1.46,1.7,2.36,744.0
CE,CO,2020-06-01,1397.025,1.9403125,1.9,2.3,2.93,720.0
CE,CO,2020-07-01,1470.24,2.1093830703012912,2.16,2.46,3.43,697.0
CE,CO,2024-01-01,1548.645,2.0815120967741936,1.95,2.704000000000001,5.63,744.0
CE,CO,2024-02-01,1499.3975,2.154306752873563,2.1,2.64,3.79,696.0
CE,CO,2024-03-01,1805.71,2.4270295698924733,2.39,2.754000000000001,3.69,744.0
CE,CO,2024-04-01,1790.415,2.4866875,2.49,2.85,3.32,720.0
CE,CO,2024-05-01,1675.3300000000002,2.2517876344086023,2.7,3.01,4.09,744.0
CE,CO,2024-06-01,661.66,0.9189722222222222,0.66,1.98,2.7,720.0
CE,CO,2024-07-01,386.96250000000003,0.5551829268292683,0.53,0.78,1.59,697.0
CE,CO,2025-01-01,1706.21,2.2932930107526883,2.2,2.8270000000000004,3.69,744.0
CE,CO,2025-02-01,1404.275,2.3096628289473684,2.84,3.34,4.99,608.0
CE,CO,2025-03-01,834.4100000000001,1.1215188172043011,1.16,1.5170000000000006,3.62,744.0
CE,CO,2025-04-01,970.16,1.3474444444444444,1.34,1.54,1.94,720.0
CE,CO,2025-05-01,764.7950000000001,1.0279502688172044,1.02,1.45,2.31,744.0
CE,CO,2025-06-01,934.7850000000001,1.2983125000000002,1.26,1.6010000000000004,2.17,720.0
CE,NO,2020-01-01,6964.775,9.361256720430108,5.0,21.7,88.2,744.0
CE,NO,2020-02-01,5471.525000000001,7.861386494252875,4.7,16.25,69.7,696.0
CE,NO,2020-03-01,3186.5750000000003,4.323710990502035,2.7,8.379999999999995,54.7,737.0
CE,NO,2020-04-01,1618.0500000000002,2.6352605863192187,2.1,4.4,19.3,614.0
CE,NO,2020-05-01,1660.45,2.4635756676557863,1.8,4.6,15.6,674.0
CE,NO,2020-06-01,1932.95,2.842573529411765,1.8,6.610000000000002,60.1,680.0
CE,NO,2020-07-01,1644.4,2.4289512555391433,1.6,5.2,12.7,677.0
CE,NO,2024-01-01,14500.025,19.489280913978494,8.9,49.24000000000001,288.4,744.0
CE,NO,2024-02-01,8830.4,12.68735632183908,5.55,30.6,132.0,696.0
CE,NO,2024-03-01,7413.400000000001,9.964247311827958,4.4,24.480000000000018,90.2,744.0
CE,NO,2024-04-01,4247.549999999999,5.899374999999999,3.5,13.2,43.0,720.0
CE,NO,2024-05-01,3090.95,4.188279132791328,2.7,8.1,53.3,738.0
CE,NO,2024-06-01,2951.0,4.104311543810849,2.5,9.220000000000004,36.0,719.0
CE,NO,2024-07-01,3615.5,5.187230989956959,3.0,11.8,30.3,697.0
CE,NO,2025-01-01,10554.150000000001,14.18568548387097,7.25,34.4,140.6,744.0
CE,NO,2025-02-01,10627.400000000001,15.814583333333335,7.75,35.96999999999999,160.8,672.0
CE,NO,2025-03-01,6161.1,8.416803278688525,4.4,18.879999999999995,98.8,732.0
CE,NO,2025-04-01,3951.15,5.487708333333334,3.3,12.720000000000004,46.2,720.0
CE,NO,2025-05-01,5819.099999999999,8.004264099037139,3.7,23.379999999999995,44.4,727.0
CE,NO,2025-06-01,7511.049999999999,10.745422031473533,7.6,24.7,40.2,699.0
CE,NO2,2020-01-01,8228.8,11.06021505376344,9.8,19.770000000000003,35.5,744.0
