pollutant,year,month_num,mean_median_city
CO,2020,1,2.07265120967742
CO,2020,2,1.8166792385057473
CO,2020,3,2.0369457471365124
CO,2020,4,0.8238819444444444
CO,2020,5,0.9246421370967741
CO,2020,6,1.1332048611111112
CO,2020,7,1.2193902439024389
CO,2024,1,2.0505342741935486
CO,2024,2,2.180662715517242
CO,2024,3,2.253639112903226
CO,2024,4,2.315170138888889
CO,2024,5,2.4413978494623656
CO,2024,6,0.8254305555555556
CO,2024,7,0.7186352223816357
CO,2025,1,2.0947345430107527
CO,2025,2,1.9871305216165414
CO,2025,3,0.9178662634408603
CO,2025,4,1.0751770833333334
CO,2025,5,0.9748958333333334
CO,2025,6,1.0121810024752476
NO,2020,1,4.930292338709678
NO,2020,2,4.18608117816092
NO,2020,3,2.411519473745641
NO,2020,4,1.8024766618746932
NO,2020,5,2.167497103490814
NO,2020,6,2.2248867647058823
NO,2020,7,2.06159359023606
NO,2024,1,24.121738997135232
NO,2024,2,19.2472341954023
NO,2024,3,12.175873655913978
NO,2024,4,6.761006944444444
NO,2024,5,4.897398974997815
NO,2024,6,5.34114882746098
NO,2024,7,5.650125538020086
NO,2025,1,21.18834005376344
NO,2025,2,20.46443452380953
NO,2025,3,15.2053102414948
NO,2025,4,7.5983333333333345
NO,2025,5,6.722140166401687
NO,2025,6,7.594898515736766
NO2,2020,1,11.06021505376344
NO2,2020,2,9.612356321839082
NO2,2020,3,6.989415322580645
NO2,2020,4,5.878352941176472
NO2,2020,5,6.32755376344086
NO2,2020,6,4.968732091690545
NO2,2020,7,4.389549483013294
NO2,2024,1,24.303326612903223
NO2,2024,2,22.271048850574708
NO2,2024,3,16.976075268817205
NO2,2024,4,14.514861111111111
NO2,2024,5,12.624361559139784
NO2,2024,6,11.506840277777776
NO2,2024,7,12.188665710186514
NO2,2025,1,23.114448924731175
NO2,2025,2,26.318377976190483
NO2,2025,3,19.278024193548383
NO2,2025,4,14.003680555555556
NO2,2025,5,13.833064516129031
NO2,2025,6,7.448159722222224
NOX_final,2020,1,10.554435483870968
NOX_final,2020,2,9.017816091954023
NOX_final,2020,3,6.105443548387099
NOX_final,2020,4,3.5665401238403525
NOX_final,2020,5,4.906350806451613
NOX_final,2020,6,4.941475694444445
NOX_final,2020,7,5.16226108665806
NOX_final,2024,1,48.694247029250455
NOX_final,2024,2,42.35944683908046
NOX_final,2024,3,29.91108870967742
NOX_final,2024,4,21.510625
NOX_final,2024,5,18.121706989247315
NOX_final,2024,6,17.011614583333333
NOX_final,2024,7,18.624551649928268
NOX_final,2025,1,45.86004704301076
NOX_final,2025,2,47.51666666666667
NOX_final,2025,3,35.62069892473119
NOX_final,2025,4,22.229374999999997
NOX_final,2025,5,19.323743846878926
NOX_final,2025,6,11.900885416666666
O3,2020,1,23.63814927130543
O3,2020,2,25.560077519379846
O3,2020,3,31.133568548387096
O3,2020,4,37.92601497610093
O3,2020,5,42.19213737182591
O3,2020,6,32.806232091690546
O3,2020,7,29.07623575480983
O3,2024,1,23.823858518554545
O3,2024,2,31.2777740638781
O3,2024,3,36.218413978494624
O3,2024,4,37.95351167929293
O3,2024,5,42.95297538811936
O3,2024,6,28.866174076289212
O3,2024,7,24.121592539454806
O3,2025,1,20.949017186108975
O3,2025,2,24.73814902467011
O3,2025,3,33.995688408126526
O3,2025,4,36.93417212858927
O3,2025,5,36.5198252688172
O3,2025,6,27.98645833333333
PM2.5,2020,1,23.933494623655918
PM2.5,2020,2,21.947587082728592
PM2.5,2020,3,20.28549059139785
PM2.5,2020,4,22.29544444444444
PM2.5,2020,5,20.34544078061911
PM2.5,2020,6,13.628763020833333
PM2.5,2020,7,18.93584518167457
PM2.5,2024,1,30.26846774193548
PM2.5,2024,2,22.67852011494253
PM2.5,2024,3,19.463635752688173
PM2.5,2024,4,21.45668055555556
PM2.5,2024,5,34.04318733153639
PM2.5,2024,6,22.127777185501067
PM2.5,2024,7,20.807341954022988
PM2.5,2025,1,24.395275537634408
PM2.5,2025,2,27.42293760831889
PM2.5,2025,3,22.92965053763441
PM2.5,2025,4,18.88565308988764
PM2.5,2025,5,20.73575172413793
PM2.5,2025,6,12.553327489481063
