station_code,pollutant,n_gaps,mean_gap,p50_gap,p90_gap,max_gap
CE,CO,214,6.822429906542056,1.0,13.700000000000017,503
CE,NO,1478,3.3903924221921518,2.0,7.0,66
CE,NO2,520,5.911538461538462,2.0,14.0,295
CE,NOX,509,5.1512770137524555,2.0,14.0,66
CE,PM2.5,1042,6.433781190019194,1.0,12.0,432
NE,CO,275,21.723636363636363,1.0,8.0,3962
NE,NO,841,9.036860879904875,3.0,14.0,720
NE,NO2,220,51.64090909090909,1.0,6.099999999999994,10067
NE,NOX,236,47.436440677966104,1.0,6.0,10067
NE,PM2.5,851,4.019976498237368,1.0,5.0,400
NE2,CO,268,29.029850746268657,1.0,16.30000000000001,2568
NE2,NO,307,43.14332247557003,1.0,8.0,5235
NE2,NO2,327,40.81039755351682,1.0,13.0,5235
NE2,NOX,324,39.55555555555556,1.0,13.0,5235
NE2,PM2.5,2073,6.354076218041485,1.0,5.0,2985
NO,CO,326,42.67791411042945,1.0,18.5,7190
NO,NO,1829,5.506834335702569,2.0,9.0,1054
NO,NO2,1016,12.078740157480315,1.0,7.5,5045
NO,NOX,949,12.478398314014752,1.0,9.0,4982
NO,PM2.5,1195,16.6836820083682,1.0,7.0,4009
NO2,CO,302,4.672185430463577,1.0,7.0,265
NO2,NO,787,6.842439644218551,1.0,3.0,2880
NO2,NO2,1300,5.9,1.0,6.0,2462
NO2,NOX,758,6.608179419525066,1.0,4.0,1788
NO2,PM2.5,1112,6.48021582733813,1.0,9.0,655
SE,CO,340,13.43235294117647,1.0,20.0,1656
SE,NO,838,14.954653937947494,1.0,4.0,10239
SE,NO2,428,26.41822429906542,1.0,4.0,10239
SE,NOX,466,24.373390557939913,1.0,4.0,10239
SE,PM2.5,1097,5.750227894257065,1.0,9.0,520
SO,CO,370,18.68918918918919,1.0,17.0,3866
SO,NO,761,6.28646517739816,1.0,11.0,599
SO,NO2,465,12.464516129032258,1.0,24.600000000000023,712
SO,NOX,460,9.821739130434782,1.0,21.0,712
SO,PM2.5,1120,4.5633928571428575,1.0,6.0,370
