date,station_code,PM2.5,NO2,CO,NO,NOX,NOx_calc,NOX_filled,NOx_sum,NOX_use,NOX_source
2020-12-08 02:00:00,CE,21.74,1.0,3.74,1.8,1.2,2.8,1.2,2.8,1.2,measured
2020-12-08 03:00:00,CE,21.82,15.4,3.69,15.7,14.8,31.1,14.8,31.1,14.8,measured
2020-12-08 04:00:00,CE,15.4,15.4,3.61,15.7,14.8,31.1,14.8,31.1,14.8,measured
2020-12-08 05:00:00,CE,17.1,15.6,3.61,15.9,15.0,31.5,15.0,31.5,15.0,measured
2020-12-08 06:00:00,CE,18.3,15.8,3.6,16.0,15.1,31.8,15.1,31.8,15.1,measured
2020-12-08 07:00:00,CE,16.48,15.8,3.66,16.1,15.2,31.900000000000002,15.2,31.900000000000002,15.2,measured
2020-12-08 08:00:00,CE,18.52,15.9,3.9,16.1,15.2,32.0,15.2,32.0,15.2,measured
2020-12-08 09:00:00,CE,27.94,15.9,4.27,16.2,15.3,32.1,15.3,32.1,15.3,measured
2020-12-08 10:00:00,CE,22.69,16.0,4.24,16.3,15.3,32.3,15.3,32.3,15.3,measured
2020-12-08 14:00:00,CE,29.53,15.9,4.14,16.2,15.2,32.1,15.2,32.1,15.2,measured
2020-12-09 13:00:00,CE,62.4,15.9,4.3,16.2,15.2,32.1,15.2,32.1,15.2,measured
2020-12-09 14:00:00,CE,58.3,15.9,4.29,16.2,15.2,32.1,15.2,32.1,15.2,measured
2020-12-09 18:00:00,CE,18.55,15.8,4.21,16.1,15.1,31.900000000000002,15.1,31.900000000000002,15.1,measured
2020-12-10 14:00:00,CE,56.64,15.8,4.53,16.1,15.1,31.900000000000002,15.1,31.900000000000002,15.1,measured
2020-12-11 16:00:00,CE,,6.5,1.73,6.7,6.3,13.2,6.3,13.2,6.3,measured
2020-12-11 17:00:00,CE,,15.7,4.08,16.0,15.0,31.7,15.0,31.7,15.0,measured
2020-12-11 18:00:00,CE,20.92,15.7,4.03,16.0,15.0,31.7,15.0,31.7,15.0,measured
2020-12-12 14:00:00,CE,22.83,15.8,4.0,16.1,15.1,31.900000000000002,15.1,31.900000000000002,15.1,measured
2020-12-12 16:00:00,CE,27.07,15.7,3.93,16.0,15.0,31.7,15.0,31.7,15.0,measured
2020-12-12 20:00:00,CE,34.23,15.8,4.13,16.1,15.1,31.900000000000002,15.1,31.900000000000002,15.1,measured
2020-12-13 14:00:00,CE,8.82,15.7,3.76,16.0,15.0,31.7,15.0,31.7,15.0,measured
2020-12-13 15:00:00,CE,7.36,15.5,3.71,15.9,14.8,31.4,14.8,31.4,14.8,measured
2020-12-13 16:00:00,CE,7.61,15.4,3.69,15.7,14.7,31.1,14.7,31.1,14.7,measured
2020-12-13 17:00:00,CE,19.32,15.4,3.8,15.7,14.6,31.1,14.6,31.1,14.6,measured
2020-12-13 19:00:00,CE,17.3,15.6,3.85,15.8,14.9,31.4,14.9,31.4,14.9,measured
2020-12-13 20:00:00,CE,14.98,15.7,3.93,16.0,15.0,31.7,15.0,31.7,15.0,measured
2020-12-13 21:00:00,CE,13.16,15.8,3.91,16.0,15.1,31.8,15.1,31.8,15.1,measured
2020-12-13 22:00:00,CE,11.67,15.8,3.81,15.9,15.2,31.700000000000003,15.2,31.700000000000003,15.2,measured
2020-12-14 11:00:00,CE,25.02,15.9,4.34,15.9,15.3,31.8,15.3,31.8,15.3,measured
2020-12-14 12:00:00,CE,32.52,15.9,4.33,16.0,15.3,31.9,15.3,31.9,15.3,measured
2020-12-15 10:00:00,CE,56.81,15.8,4.74,15.9,15.2,31.700000000000003,15.2,31.700000000000003,15.2,measured
2020-12-15 11:00:00,CE,56.76,15.8,4.78,16.0,15.2,31.8,15.2,31.8,15.2,measured
2020-12-15 14:00:00,CE,86.55,15.8,5.36,15.9,15.1,31.700000000000003,15.1,31.700000000000003,15.1,measured
2020-12-16 05:00:00,CE,9.04,15.7,4.0,15.5,15.1,31.2,15.1,31.2,15.1,measured
2020-12-16 06:00:00,CE,9.09,15.8,4.13,15.6,15.2,31.4,15.2,31.4,15.2,measured
2020-12-16 07:00:00,CE,11.03,15.8,4.2,15.6,15.2,31.4,15.2,31.4,15.2,measured
2020-12-16 11:00:00,CE,20.95,15.9,4.3,16.0,15.3,31.9,15.3,31.9,15.3,measured
2020-12-16 12:00:00,CE,14.38,15.9,4.09,16.0,15.3,31.9,15.3,31.9,15.3,measured
2020-12-17 10:00:00,CE,65.62,15.9,5.08,16.1,15.3,32.0,15.3,32.0,15.3,measured
2020-12-17 17:00:00,CE,12.82,15.7,4.09,15.7,15.1,31.4,15.1,31.4,15.1,measured
2020-12-17 18:00:00,CE,12.39,15.7,4.13,15.6,15.0,31.299999999999997,15.0,31.299999999999997,15.0,measured
2020-12-18 10:00:00,CE,35.47,15.7,4.72,15.8,15.1,31.5,15.1,31.5,15.1,measured
2020-12-18 11:00:00,CE,28.59,15.8,4.82,15.9,15.2,31.700000000000003,15.2,31.700000000000003,15.2,measured
2020-12-18 12:00:00,CE,31.4,16.0,4.79,16.1,15.4,32.1,15.4,32.1,15.4,measured
2020-12-18 13:00:00,CE,34.47,15.9,4.64,16.0,15.3,31.9,15.3,31.9,15.3,measured
2020-12-18 14:00:00,CE,49.91,15.8,4.98,15.9,15.1,31.700000000000003,15.1,31.700000000000003,15.1,measured
2020-12-18 15:00:00,CE,58.49,15.7,5.19,15.9,15.0,31.6,15.0,31.6,15.0,measured
2020-12-19 10:00:00,CE,44.55,15.9,5.07,16.0,15.2,31.9,15.2,31.9,15.2,measured
2020-12-19 11:00:00,CE,43.46,15.9,5.13,16.1,15.3,32.0,15.3,32.0,15.3,measured
2020-12-19 12:00:00,CE,33.74,16.0,4.56,16.2,15.3,32.2,15.3,32.2,15.3,measured
2020-12-19 13:00:00,CE,30.43,16.0,4.41,16.2,15.4,32.2,15.4,32.2,15.4,measured
2020-12-20 03:00:00,CE,26.44,15.8,4.68,15.9,15.2,31.700000000000003,15.2,31.700000000000003,15.2,measured
2020-12-20 12:00:00,CE,22.62,16.0,4.43,16.1,15.3,32.1,15.3,32.1,15.3,measured
2020-12-20 13:00:00,CE,14.01,16.0,4.31,16.2,15.4,32.2,15.4,32.2,15.4,measured
2020-12-20 19:00:00,CE,19.82,15.9,4.47,15.9,15.3,31.8,15.3,31.8,15.3,measured
2020-12-21 11:00:00,CE,28.77,15.9,4.88,16.1,15.3,32.0,15.3,32.0,15.3,measured
2020-12-21 12:00:00,CE,30.55,16.0,4.95,16.2,15.3,32.2,15.3,32.2,15.3,measured
2020-12-22 21:00:00,CE,40.83,15.8,5.51,15.9,15.2,31.700000000000003,15.2,31.700000000000003,15.2,measured
2020-12-23 10:00:00,CE,69.86,15.9,6.36,16.1,15.2,32.0,15.2,32.0,15.2,measured
2020-12-23 11:00:00,CE,64.28,15.9,5.85,16.2,15.3,32.1,15.3,32.1,15.3,measured
2020-12-23 12:00:00,CE,45.3,16.0,5.2,16.2,15.3,32.2,15.3,32.2,15.3,measured
2020-12-23 19:00:00,CE,28.15,15.9,5.14,16.0,15.2,31.9,15.2,31.9,15.2,measured
2020-12-24 12:00:00,CE,19.58,15.9,4.38,15.9,15.3,31.8,15.3,31.8,15.3,measured
2020-12-24 18:00:00,CE,14.8,15.8,4.33,15.5,15.2,31.3,15.2,31.3,15.2,measured
2020-12-25 01:00:00,CE,41.33,15.7,4.71,15.7,15.1,31.4,15.1,31.4,15.1,measured
2020-12-25 02:00:00,CE,46.2,15.7,4.68,15.5,15.1,31.2,15.1,31.2,15.1,measured
2020-12-25 10:00:00,CE,24.85,15.8,4.45,15.7,15.2,31.5,15.2,31.5,15.2,measured
2020-12-25 11:00:00,CE,27.71,15.9,4.48,15.9,15.2,31.8,15.2,31.8,15.2,measured
2020-12-25 12:00:00,CE,27.76,15.9,4.53,15.8,15.3,31.700000000000003,15.3,31.700000000000003,15.3,measured
2020-12-25 18:00:00,CE,13.97,15.8,4.31,15.7,15.2,31.5,15.2,31.5,15.2,measured
2020-12-26 06:00:00,CE,20.17,15.5,4.38,15.3,14.9,30.8,14.9,30.8,14.9,measured
2020-12-26 07:00:00,CE,19.66,15.7,4.42,15.4,15.1,31.1,15.1,31.1,15.1,measured
2020-12-26 08:00:00,CE,29.11,15.7,4.58,15.4,15.1,31.1,15.1,31.1,15.1,measured
2020-12-26 10:00:00,CE,21.96,15.9,4.6,15.7,15.2,31.6,15.2,31.6,15.2,measured
2020-12-26 11:00:00,CE,36.18,15.9,5.0,15.8,15.3,31.700000000000003,15.3,31.700000000000003,15.3,measured
2020-12-26 12:00:00,CE,35.04,16.0,4.88,15.9,15.3,31.9,15.3,31.9,15.3,measured
2020-12-26 13:00:00,CE,38.46,16.0,4.99,16.0,15.4,32.0,15.4,32.0,15.4,measured
2020-12-26 17:00:00,CE,27.1,16.0,4.6,16.0,15.3,32.0,15.3,32.0,15.3,measured
2020-12-26 20:00:00,CE,20.48,15.9,4.61,15.6,15.2,31.5,15.2,31.5,15.2,measured
2020-12-27 09:00:00,CE,20.31,15.9,4.54,15.7,15.2,31.6,15.2,31.6,15.2,measured
2020-12-27 10:00:00,CE,19.03,15.9,4.58,15.9,15.3,31.8,15.3,31.8,15.3,measured
2020-12-27 11:00:00,CE,22.49,16.0,4.54,16.1,15.3,32.1,15.3,32.1,15.3,measured
2020-12-27 12:00:00,CE,25.04,16.1,4.59,16.3,15.4,32.400000000000006,15.4,32.400000000000006,15.4,measured
2020-12-27 13:00:00,CE,,16.2,4.71,16.4,15.5,32.599999999999994,15.5,32.599999999999994,15.5,measured
2020-12-27 14:00:00,CE,,16.2,4.63,16.3,15.5,32.5,15.5,32.5,15.5,measured
2020-12-27 19:00:00,CE,,16.1,4.66,16.1,15.4,32.2,15.4,32.2,15.4,measured
2020-12-27 20:00:00,CE,,16.1,4.76,16.1,15.4,32.2,15.4,32.2,15.4,measured
2020-12-28 09:00:00,CE,45.96,16.0,5.37,16.0,15.4,32.0,15.4,32.0,15.4,measured
2020-12-28 10:00:00,CE,51.31,16.0,5.1,16.0,15.4,32.0,15.4,32.0,15.4,measured
2020-12-28 12:00:00,CE,32.1,16.1,4.98,16.2,15.5,32.3,15.5,32.3,15.5,measured
2020-12-28 13:00:00,CE,54.08,16.2,5.35,16.3,15.5,32.5,15.5,32.5,15.5,measured
2020-12-28 16:00:00,CE,19.57,16.3,4.59,16.4,15.6,32.7,15.6,32.7,15.6,measured
2020-12-28 18:00:00,CE,19.44,16.2,4.62,16.3,15.5,32.5,15.5,32.5,15.5,measured
2020-12-29 03:00:00,CE,44.5,16.0,4.56,16.1,15.4,32.1,15.4,32.1,15.4,measured
2020-12-29 19:00:00,CE,39.22,16.1,4.82,16.2,15.4,32.3,15.4,32.3,15.4,measured
2021-02-04 10:00:00,CE,38.69,16.1,6.62,16.3,15.5,32.400000000000006,15.5,32.400000000000006,15.5,measured
2021-02-04 11:00:00,CE,45.49,16.2,6.41,16.4,15.5,32.599999999999994,15.5,32.599999999999994,15.5,measured
2021-02-04 12:00:00,CE,31.2,16.3,5.97,16.5,15.6,32.8,15.6,32.8,15.6,measured
2021-02-04 13:00:00,CE,24.62,16.3,5.84,16.6,15.6,32.900000000000006,15.6,32.900000000000006,15.6,measured
2021-02-04 14:00:00,CE,18.7,10.7,1.02,10.8,10.2,21.5,10.2,21.5,10.2,measured
2021-02-04 15:00:00,CE,11.49,16.2,,16.5,15.5,32.7,15.5,32.7,15.5,measured
2021-02-04 16:00:00,CE,8.17,16.3,,16.6,15.6,32.900000000000006,15.6,32.900000000000006,15.6,measured
2021-02-04 17:00:00,CE,6.74,16.3,,16.6,15.6,32.900000000000006,15.6,32.900000000000006,15.6,measured
2021-02-05 12:00:00,CE,28.47,16.3,,16.3,15.6,32.6,15.6,32.6,15.6,measured
2021-02-05 13:00:00,CE,24.27,16.3,,16.4,15.6,32.7,15.6,32.7,15.6,measured
2021-02-06 06:00:00,CE,55.14,16.0,,16.2,15.4,32.2,15.4,32.2,15.4,measured
2021-02-06 09:00:00,CE,45.17,16.1,,16.3,15.5,32.400000000000006,15.5,32.400000000000006,15.5,measured
2021-02-06 10:00:00,CE,67.38,16.1,,16.3,15.5,32.400000000000006,15.5,32.400000000000006,15.5,measured
2021-02-06 12:00:00,CE,53.51,16.2,,16.4,15.6,32.599999999999994,15.6,32.599999999999994,15.6,measured
2021-02-07 13:00:00,CE,15.06,16.3,,16.3,15.6,32.6,15.6,32.6,15.6,measured
2021-02-08 12:00:00,CE,48.72,16.2,,16.4,15.6,32.599999999999994,15.6,32.599999999999994,15.6,measured
