station_code,pollutant,period,rows,missing_pct,n_gaps_short,n_gaps_med,n_gaps_long,max_gap_h,mean_gap_h,coverage,decision,method,coverage_bucket,safeguards,neighbors_hint
CE,PM2.5,pandemic,17544.0,15.315777473780209,427.0,56.0,6.0,432.0,5.494887525562373,84.6842225262198,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|SO|NO
CE,PM2.5,transition,8760.0,9.440639269406391,124.0,20.0,4.0,117.0,5.587837837837838,90.5593607305936,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|SO|NO2
CE,PM2.5,current,21888.0,14.574195906432749,344.0,44.0,17.0,282.0,7.876543209876543,85.42580409356725,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|SO
NE,PM2.5,pandemic,17544.0,6.041951664386684,201.0,21.0,1.0,400.0,4.753363228699552,93.95804833561331,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NO
NE,PM2.5,transition,8760.0,4.965753424657534,150.0,15.0,0.0,36.0,2.636363636363636,95.03424657534246,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NO|NE2|SE
NE,PM2.5,current,21888.0,8.799342105263158,424.0,34.0,5.0,359.0,4.159827213822894,91.20065789473684,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE2|SO
NE2,PM2.5,pandemic,17544.0,20.21773825809393,935.0,76.0,8.0,203.0,3.480863591756624,79.78226174190607,include_conservative,A+B,60–80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
NE2,PM2.5,transition,8760.0,7.237442922374429,301.0,8.0,1.0,57.0,2.0451612903225804,92.76255707762556,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE
NE2,PM2.5,current,21888.0,41.07730263157895,692.0,41.0,11.0,2985.0,12.084677419354838,58.92269736842105,exclude,none,<60%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE
NO,PM2.5,pandemic,17544.0,8.41313269493844,127.0,21.0,7.0,431.0,9.522580645161293,91.58686730506156,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE|SO|SE
NO,PM2.5,transition,8760.0,23.48173515981735,425.0,24.0,3.0,499.0,4.550884955752212,76.51826484018265,include_conservative,A+B,60–80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE|NO2|SO
NO,PM2.5,current,21888.0,74.9451754385965,519.0,57.0,12.0,4009.0,27.897959183673468,25.054824561403507,exclude,none,<60%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
NO2,PM2.5,pandemic,17544.0,10.989512083903328,313.0,24.0,7.0,265.0,5.604651162790698,89.01048791609668,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
